management_no,volume,pdf_book_no,source_pdf,title,author,publisher,existing_book_id,existing_source_id,stage1_decision,keywords,related_subjects,related_majors,summary_or_notes,mini_use_note,source_zip
54,1,54,49-54.pdf,이상한 정상가족,김희경,동아시아,book_054,booksrc_0054,기존 카드 보강 후보 / 제목 오류 보정 필요,가족 다양성 | 돌봄 책임 전가 | 사회보장 | 아동권리 | 정상 가족 | 제도적 배제,국어 | 사회 | 도덕 | 기술·가정 | 보건 | 진로와 직업,사회학과 | 아동학과 | 사회복지학과 | 가족상담학과 | 교육학과 | 법학과 | 보건학과,"정상가족이라는 사회적 기준이 어떻게 만들어지고, 국가와 제도가 가족·아동·돌봄을 어떻게 바라보는지 비판적으로 탐구할 수 있는 책이다.",,book_pdf_49_54_stage1_result.zip
55,1,55,55-60.pdf,인간문제,,,book_055,booksrc_0055,기존 카드 보강 후보 / 제목 alias 보정 필요,,,,,,book_pdf_55_60_stage1_result.zip
56,1,56,55-60.pdf,인물로 읽는 장자,,,book_056,booksrc_0056,기존 카드 보강 후보 / 저자 표기 확인 필요,,,,,,book_pdf_55_60_stage1_result.zip
57,1,57,55-60.pdf,잃어버린 시간을 찾아서,,,book_057,booksrc_0057,기존 카드 보강 후보,,,,,,book_pdf_55_60_stage1_result.zip
58,1,58,55-60.pdf,자유론,,,book_058,booksrc_0058,기존 카드 보강 후보,,,,,,book_pdf_55_60_stage1_result.zip
59,1,59,55-60.pdf,젊은 예술가의 초상,,,book_059,booksrc_0059,기존 카드 보강 후보,,,,,,book_pdf_55_60_stage1_result.zip
60,1,60,55-60.pdf,정신현상학,,,book_060,booksrc_0060,기존 카드 보강 후보,,,,,,book_pdf_55_60_stage1_result.zip
61,1,61,61-65.pdf,정지용전집,정지용,,,,,,,,,,book_pdf_61_65_stage1_result.zip
62,1,62,61-65.pdf,제국의 시대,에릭 홉스봄,,,,,,,,,,book_pdf_61_65_stage1_result.zip
63,1,63,61-65.pdf,종의 기원,찰스 다윈,,,,,,,,,,book_pdf_61_65_stage1_result.zip
64,1,64,61-65.pdf,죽은 시인의 사회,N.H. 클라인바움,,,,,,,,,,book_pdf_61_65_stage1_result.zip
65,1,65,61-65.pdf,짜라투스트라는 이렇게 말했다,프리드리히 니체,,,,,,,,,,book_pdf_61_65_stage1_result.zip
66,1,66,66-70.pdf,천변풍경,박태원,,,,,,,,,,book_pdf_66_70_stage1_result.zip
67,1,67,66-70.pdf,치과의사가 말하는 치과의사,안유석 외,,,,,,,,,,book_pdf_66_70_stage1_result.zip
68,1,68,66-70.pdf,카라마조프 가의 형제들,표도르 도스토옙스키,,,,,,,,,,book_pdf_66_70_stage1_result.zip
69,1,69,66-70.pdf,카오스,제임스 글릭,,,,,,,,,,book_pdf_66_70_stage1_result.zip
70,1,70,66-70.pdf,코스모스,칼 세이건,,,,,,,,,,book_pdf_66_70_stage1_result.zip
71,2,01,1-5.pdf,20세기 수학의 다섯가지 황금률,존 L. 캐스티 / 경문사 / 1999,,,,new_candidate_pending_exact_duplicate_check,공정한 판단 | 수학과 철학의 만남 | 수학적 사고력 | 수학적 알고리즘 | 창의적 문제해결,수학 | 과학 | 정보 | 미적분 | 확률과 통계 | 기하,수학과 | 통계학과 | 컴퓨터공학과 | 인공지능학과 | 데이터사이언스학과 | 수학교육과,"수학의 대표적 흐름을 통해 수학이 단순 계산 도구가 아니라 인간 이해, 판단, 알고리즘적 사고와 연결되는 학문임을 보여주는 도서.","수학 원리와 사회적 판단, 알고리즘의 공정성 문제를 연결하는 보고서의 이론적 배경으로 활용 가능.",book2_pdf_71_75_stage1_result.zip
72,2,02,1-5.pdf,감시와 처벌,미셸 푸코 / 나남 / 2020,,,,new_candidate_pending_exact_duplicate_check,감시 | 권력과 자유 | 규율 시스템 | 규율권력 | 자동화된 감시,사회 | 국어 | 과학 | 정보 | 도덕,사회학과 | 정치외교학과 | 미디어커뮤니케이션학과 | 정보보호학과 | 법학과 | 심리학과,근대 사회의 감시와 규율 시스템이 개인의 자유와 주체성에 미치는 영향을 분석하는 고전.,"디지털 감시, CCTV, 알고리즘 감시, 플랫폼 사회의 규율 문제를 다루는 보고서의 비판적 관점 보강 자료로 활용 가능.",book2_pdf_71_75_stage1_result.zip
73,2,03,1-5.pdf,건건록,무츠 무네미쓰 / 논형 / 2021,,,,new_candidate_pending_exact_duplicate_check,동아시아 국제관계 | 외교 | 외교의 명분과 실질 | 제국주의 | 주권,국어 | 사회 | 역사 | 도덕,정치외교학과 | 국제학과 | 역사학과 | 일본학과 | 동아시아학과,"근대 동아시아 외교와 전쟁, 국가 이익의 논리가 어떻게 작동했는지를 보여주는 역사·외교 자료.","국가 이익, 외교, 주권, 국제관계의 명분과 실제를 비교 분석하는 보고서의 사례 자료로 활용 가능.",book2_pdf_71_75_stage1_result.zip
74,2,04,1-5.pdf,계몽의 변증법,테오도르 아도르노 외 / 문예출판사 / 2001,,,,new_candidate_pending_exact_duplicate_check,계몽 | 도구적 이성 | 문화산업 | 사회 진보 | 합리성,국어 | 사회 | 역사 | 도덕 | 철학,철학과 | 사회학과 | 문화콘텐츠학과 | 미디어커뮤니케이션학과 | 정치외교학과,계몽과 합리성이 인간 해방의 원리가 되면서도 동시에 도구적 이성으로 변질될 수 있음을 비판적으로 분석하는 책.,기술·합리성·사회 진보의 양면성을 다루는 비판적 분석형 보고서의 관점 보강 자료로 활용 가능.,book2_pdf_71_75_stage1_result.zip
75,2,05,1-5.pdf,고백록,"아우구스티누스 / 현대지성 / 2023, 세부 저자·역자 표기 확인 필요",,,,new_candidate_pending_exact_duplicate_check,사랑 | 연대 | 자유의지 | 정체성 | 존엄 | 참회의 선택,국어 | 사회 | 역사 | 도덕 | 철학,철학과 | 윤리교육과 | 신학과 | 심리학과 | 문예창작학과 | 인문학부,"자기 성찰과 고백을 통해 자유의지, 선택, 죄의식, 정체성 형성 문제를 탐구하는 고전.","자유의지와 삶의 선택, 자기 성찰, 정체성 형성을 다루는 보고서의 인문학적 근거 자료로 활용 가능.",book2_pdf_71_75_stage1_result.zip
76,2,06,6-10.pdf,공공선택론,김성준,박영사,,,,공공선택론 | 공익 | 이해관계 | 정부실패 | 정책결정 | 정책실패,,,,,book2_pdf_76_80_stage1_result.zip
77,2,07,6-10.pdf,공학이란 무엇인가,성풍현 외,살림,,,,공학 | 공학윤리 | 공학적 설계 | 기술 책임 | 기술과 사회 | 문제해결,,,,,book2_pdf_76_80_stage1_result.zip
78,2,08,6-10.pdf,국가론,마르쿠스 툴리우스 키케로,부북스,,,,공동체 | 공화정 | 국가 | 시민 | 정의 | 합의,,,,,book2_pdf_76_80_stage1_result.zip
79,2,09,6-10.pdf,군주론,마키아벨리,돋을새김,,,,권력 | 리더십 | 마키아벨리즘 | 전략 | 정치전략 | 현실주의,,,,,book2_pdf_76_80_stage1_result.zip
80,2,10,6-10.pdf,꿈의 해석,지그문트 프로이트,돋을새김,,,,기억 | 꿈 | 무의식 | 상징 | 심리치료 | 자아정체성,,,,,book2_pdf_76_80_stage1_result.zip
81,2,11,11-15.pdf,넛지,리처드 탈러,리더스북,,,,넛지 | 선택 설계 | 소비자 선택 | 인지 편향 | 자유주의적 개입 | 정책 개입 | 행동경제학,,,,,book2_pdf_81_85_stage1_result.zip
82,2,12,11-15.pdf,니코마코스 윤리학,아리스토텔레스,풀빛,,,,공동선 | 규칙 | 덕 | 시민의식 | 자율성 | 중용 | 행복,,,,,book2_pdf_81_85_stage1_result.zip
83,2,13,11-15.pdf,데카메론,보카치오,살림,,,,데카메론 | 르네상스 | 사회비판 | 서사 | 인간본성 | 인문주의 | 흑사병,,,,,book2_pdf_81_85_stage1_result.zip
84,2,14,11-15.pdf,돈키호테,세르반테스,시공사,,,,기사도 정신 | 돈키호테 | 무모함과 용기 | 문학적 상상력 | 이상주의 | 풍자 | 현실과 충돌,,,,,book2_pdf_81_85_stage1_result.zip
85,2,15,11-15.pdf,디자인 인문학,최경원,허밍버드,,,,디자인 씽킹 | 디자인 인문학 | 문제 해결 | 사용자 경험 | 소비문화 | 윤리적 책임 | 혁신,,,,,book2_pdf_81_85_stage1_result.zip
86,2,16,16-20.pdf,리바이어던,토마스 홉스,나남,book_156,booksrc_0156,기존 카드 보강 후보,국가 권력 | 사회계약 | 인간관 | 자연권 | 절대적 가치관 | 정치철학,,정치외교학과 | 행정학과 | 법학과 | 사회학과 | 철학과,"자연 상태의 혼란을 벗어나기 위해 인간이 사회계약과 권위를 필요로 한다는 관점을 통해 국가 권력, 개인 권리, 공동체 질서의 관계를 탐구할 수 있는 고전이다.",,book2_pdf_86_90_stage1_result.zip
87,2,17,16-20.pdf,마의 산,토마스 만,을유문화사,book_157,booksrc_0157,기존 카드 보강 후보,고통 | 근대 문명 | 성장 | 인간 내면 | 정신성 | 질병,,문예창작학과 | 국어국문학과 | 심리학과 | 철학과 | 사회학과,"요양원이라는 공간을 배경으로 개인의 내면 성장과 질병, 고통, 근대 문명의 문제를 다루는 작품이다.",,book2_pdf_86_90_stage1_result.zip
88,2,18,16-20.pdf,멋진 신세계,올더스 헉슬리,문예출판사,book_158,booksrc_0158,기존 카드 보강 후보,생명윤리 | 소마 | 유전자 조작 | 자유 | 쾌락 | 통제사회,,생명공학과 | 사회학과 | 심리학과 | 철학과 | 정치외교학과 | 정보사회 관련 전공,과학기술과 사회 통제가 결합된 미래사회를 통해 안정과 행복이 인간의 자유보다 우선될 수 있는지 질문하게 하는 작품이다.,,book2_pdf_86_90_stage1_result.zip
89,2,19,16-20.pdf,문명의 충돌,새뮤얼 헌팅턴,김영사,book_159,booksrc_0159,기존 카드 보강 후보,국가 이해관계 | 국제관계 | 문명 충돌 | 문화 정체성 | 분쟁 | 세계질서,,국제학과 | 정치외교학과 | 사회학과 | 역사학과 | 문화인류학과,냉전 이후 국제 질서의 변화를 문명과 문화권의 충돌 관점에서 설명하는 책이다.,,book2_pdf_86_90_stage1_result.zip
90,2,20,16-20.pdf,물질문명과 자본주의,페르낭 브로델,까치글방,book_160,booksrc_0160,기존 카드 보강 후보,경제사 | 교역 | 물질문명 | 세계체제 | 자본주의 | 장기지속,,경제학과 | 역사학과 | 사회학과 | 국제학과 | 경영학과,경제와 사회 구조를 장기적인 역사 흐름 속에서 분석하는 책이다.,,book2_pdf_86_90_stage1_result.zip
91,2,21,21-25.pdf,미스터 나이팅게일,"문광기, 김영사, 2014",,book_161,booksrc_0161,기존 카드 보강 후보,간호 | 다양성 존중 | 돌봄 | 사회적 편견 | 소명 | 직업 선택,,,"간호 직업 선택과 사회적 편견, 개인의 자유와 직업적 소명 사이의 갈등을 분석하는 보고서 근거로 활용 가능","간호 직업 선택과 사회적 편견, 개인의 자유와 직업적 소명 사이의 갈등을 분석하는 보고서 근거로 활용 가능",book2_pdf_91_95_stage1_result.zip
92,2,22,21-25.pdf,방법서설,"르네 데카르트, 돋을새김, 2019",,book_162,booksrc_0162,기존 카드 보강 후보,방법 | 이성 | 주체 | 판단 기준 | 합리주의 | 회의,,,"과학적 사고, 이성적 판단, 근대적 주체 형성의 논리 구조를 분석하는 보고서 근거로 활용 가능","과학적 사고, 이성적 판단, 근대적 주체 형성의 논리 구조를 분석하는 보고서 근거로 활용 가능",book2_pdf_91_95_stage1_result.zip
93,2,23,21-25.pdf,백석 시 전집,"백석, 문예나무, 2012",,book_163,booksrc_0163,기존 카드 보강 후보,공동체 | 모더니즘 | 민족 정체성 | 시어 | 전통 | 향토성,,,"백석 시의 회화적 묘사와 향토성, 모더니즘 시의 표현 방식과 민족 정체성을 분석하는 보고서 근거로 활용 가능","백석 시의 회화적 묘사와 향토성, 모더니즘 시의 표현 방식과 민족 정체성을 분석하는 보고서 근거로 활용 가능",book2_pdf_91_95_stage1_result.zip
94,2,24,21-25.pdf,"분배냐, 인정이냐","낸시 프레이저, 사월의책, 2014",,book_164,booksrc_0164,기존 카드 보강 후보,다차원적 정의 | 분배 | 불평등 | 사회정책 | 인정 | 정의,,,"경제적 분배와 사회적 인정의 관계, 현대 사회 불평등 구조를 분석하는 보고서 근거로 활용 가능","경제적 분배와 사회적 인정의 관계, 현대 사회 불평등 구조를 분석하는 보고서 근거로 활용 가능",book2_pdf_91_95_stage1_result.zip
95,2,25,21-25.pdf,사기열전,"사마천, 민음사, 2020",,book_165,booksrc_0165,기존 카드 보강 후보,권력 | 도덕 | 선택 | 역사적 통찰 | 인간 군상 | 인간 본성,,,"역사 속 인물의 선택과 도덕적 신념, 인간 본성과 권력의 관계를 분석하는 보고서 근거로 활용 가능","역사 속 인물의 선택과 도덕적 신념, 인간 본성과 권력의 관계를 분석하는 보고서 근거로 활용 가능",book2_pdf_91_95_stage1_result.zip
96,2,26,26-30.pdf,사피엔스,유발 하라리,,book_166,booksrc_0166,기존 카드 보강 후보,,,,"인간 이해, 인류 역사, 유전자 편집, 과학혁명, 호모 사피엔스와 포스트휴먼 관점 보강 가능","인간 이해, 인류 역사, 유전자 편집, 과학혁명, 호모 사피엔스와 포스트휴먼 관점 보강 가능",book2_pdf_96_100_stage1_result.zip
97,2,27,26-30.pdf,삼대,염상섭,,book_167,booksrc_0167,기존 카드 보강 후보,,,,"세대 갈등, 자본주의, 가족주의, 전통 가치의 붕괴, 근대화의 사회 변화 분석에 활용 가능","세대 갈등, 자본주의, 가족주의, 전통 가치의 붕괴, 근대화의 사회 변화 분석에 활용 가능",book2_pdf_96_100_stage1_result.zip
98,2,28,26-30.pdf,선량한 차별주의자,김지혜,,book_168,booksrc_0168,기존 카드 보강 후보,,,,"차별, 공정함, 특권, 구조화된 불평등, 혐오 표현과 민주주의 위험 분석에 활용 가능","차별, 공정함, 특권, 구조화된 불평등, 혐오 표현과 민주주의 위험 분석에 활용 가능",book2_pdf_96_100_stage1_result.zip
99,2,29,26-30.pdf,성학십도,퇴계 이황,,book_169,booksrc_0169,기존 카드 보강 후보,,,,"이기이원론, 수양, 도덕성, 사단칠정, 인간 감정의 본성 분석에 활용 가능","이기이원론, 수양, 도덕성, 사단칠정, 인간 감정의 본성 분석에 활용 가능",book2_pdf_96_100_stage1_result.zip
100,2,30,26-30.pdf,소비의 사회,장 보드리야르,,book_170,booksrc_0170,기존 카드 보강 후보,,,,"기호소비, 정체성, 차이화, 시뮬라시옹, 현대 소비사회와 SNS 소비문화 분석에 활용 가능","기호소비, 정체성, 차이화, 시뮬라시옹, 현대 소비사회와 SNS 소비문화 분석에 활용 가능",book2_pdf_96_100_stage1_result.zip
101,2,31,31-35.pdf,시간의 역사,스티븐 호킹,,book_171,booksrc_0171,기존 카드 보강 후보,,,,"빅뱅, 블랙홀, 시간, 상대성 이론, 양자역학, 무경계 가설, 우주 기원 탐구 보강 가능","빅뱅, 블랙홀, 시간, 상대성 이론, 양자역학, 무경계 가설, 우주 기원 탐구 보강 가능",book2_pdf_101_105_stage1_result.zip
102,2,32,31-35.pdf,신곡,단테 알리기에리,,book_172,booksrc_0172,기존 카드 보강 후보,,,,"구원, 죄, 순례, 자유의지, 중세 종교관, 단테의 지옥 구조와 인간 구원관 분석에 활용 가능","구원, 죄, 순례, 자유의지, 중세 종교관, 단테의 지옥 구조와 인간 구원관 분석에 활용 가능",book2_pdf_101_105_stage1_result.zip
103,2,33,31-35.pdf,실천이성비판,임마누엘 칸트,,book_173,booksrc_0173,기존 카드 보강 후보,,,,"정언명령, 자율성, 도덕 법칙, 선의지, 의무론, 도덕 판단 기준 분석에 활용 가능","정언명령, 자율성, 도덕 법칙, 선의지, 의무론, 도덕 판단 기준 분석에 활용 가능",book2_pdf_101_105_stage1_result.zip
104,2,34,31-35.pdf,아리랑,님 웨일즈,,book_174,booksrc_0174,기존 카드 보강 후보,,,,"일제강점기, 조선 청년, 신념, 저항, 혁명과 이념 갈등, 역사 서사 분석에 활용 가능","일제강점기, 조선 청년, 신념, 저항, 혁명과 이념 갈등, 역사 서사 분석에 활용 가능",book2_pdf_101_105_stage1_result.zip
105,2,35,31-35.pdf,악의 꽃,샤를 보들레르,,book_175,booksrc_0175,기존 카드 보강 후보,,,,"욕망, 죄의식, 퇴폐미, 도시, 근대 문학, 예술가의 정체성과 도덕적 한계 분석에 활용 가능","욕망, 죄의식, 퇴폐미, 도시, 근대 문학, 예술가의 정체성과 도덕적 한계 분석에 활용 가능",book2_pdf_101_105_stage1_result.zip
106,2,36,36-40.pdf,양명학연론,정인보,,book_176,booksrc_0176,기존 카드 보강 후보,,,,"양명학, 실천 윤리, 지행합일, 조선 후기 사상, 도덕적 판단과 교육철학 보강 가능","양명학, 실천 윤리, 지행합일, 조선 후기 사상, 도덕적 판단과 교육철학 보강 가능",book2_pdf_106_110_stage1_result.zip
107,2,37,36-40.pdf,에밀,장 자크 루소,,book_177,booksrc_0177,기존 카드 보강 후보,,,,"자연주의 교육, 자율성, 도덕성, 발달 단계별 교육, AI 시대 교육철학 보강 가능","자연주의 교육, 자율성, 도덕성, 발달 단계별 교육, AI 시대 교육철학 보강 가능",book2_pdf_106_110_stage1_result.zip
108,2,38,36-40.pdf,역사란 무엇인가,E. H. 카,,book_178,booksrc_0178,기존 카드 보강 후보,,,,"역사 인식, 사실과 해석, 대중문화와 역사 재현, 역사 서술의 문제점 보강 가능","역사 인식, 사실과 해석, 대중문화와 역사 재현, 역사 서술의 문제점 보강 가능",book2_pdf_106_110_stage1_result.zip
109,2,39,36-40.pdf,연금술사,파울로 코엘료,,book_179,booksrc_0179,기존 카드 보강 후보,,,,"자아 탐색, 직관, 꿈과 운명, 선택과 책임, 성장 서사와 진로 탐구 보강 가능","자아 탐색, 직관, 꿈과 운명, 선택과 책임, 성장 서사와 진로 탐구 보강 가능",book2_pdf_106_110_stage1_result.zip
110,2,40,36-40.pdf,오만과 편견,제인 오스틴,,book_180,booksrc_0180,기존 카드 보강 후보,,,,"오만, 편견, 자율성, 결혼 제도, 사회적 기준과 개인 선택의 관계 보강 가능","오만, 편견, 자율성, 결혼 제도, 사회적 기준과 개인 선택의 관계 보강 가능",book2_pdf_106_110_stage1_result.zip
111,2,41,41-45.pdf,욕망 이론,자크 라캉,,book_181,booksrc_0181,기존 카드 보강 후보,,,,"무의식 구조, 타자의 욕망, 상징계와 언어, 주체 형성, SNS와 청소년 욕망 분석에 활용 가능","무의식 구조, 타자의 욕망, 상징계와 언어, 주체 형성, SNS와 청소년 욕망 분석에 활용 가능",book2_pdf_111_115_stage1_result.zip
112,2,42,41-45.pdf,우리는 왜 개는 사랑하고 돼지는 먹고 소는 신을까,멜라니 조이,,book_182,booksrc_0182,기존 카드 보강 후보,,,,"육식주의, 동물 윤리, 종차별주의, 비건 문화, 생명 윤리와 사회적 인식 분석에 활용 가능","육식주의, 동물 윤리, 종차별주의, 비건 문화, 생명 윤리와 사회적 인식 분석에 활용 가능",book2_pdf_111_115_stage1_result.zip
113,2,43,41-45.pdf,위대한 유산,찰스 디킨스,,book_183,booksrc_0183,기존 카드 보강 후보,,,,"계층 이동, 신사 문화, 경제적 후원, 사회적 성공, 산업사회와 개인 정체성 분석에 활용 가능","계층 이동, 신사 문화, 경제적 후원, 사회적 성공, 산업사회와 개인 정체성 분석에 활용 가능",book2_pdf_111_115_stage1_result.zip
114,2,44,41-45.pdf,의사 지바고,보리스 파스테르나크,,book_184,booksrc_0184,기존 카드 보강 후보,,,,"혁명과 개인, 예술가 구원, 윤리적 사랑, 자유의지, 전쟁과 혁명 속 개인 책임 분석에 활용 가능","혁명과 개인, 예술가 구원, 윤리적 사랑, 자유의지, 전쟁과 혁명 속 개인 책임 분석에 활용 가능",book2_pdf_111_115_stage1_result.zip
115,2,45,41-45.pdf,"의학, 인문으로 치유하다",예병일,,book_185,booksrc_0185,기존 카드 보강 후보,,,,"의료문학, 환자 중심 의료, 통합치료, 의료윤리, 맞춤형 의학과 의료 불평등 분석에 활용 가능","의료문학, 환자 중심 의료, 통합치료, 의료윤리, 맞춤형 의학과 의료 불평등 분석에 활용 가능",book2_pdf_111_115_stage1_result.zip
116,2,46,46-50.pdf,이반 데니소비치의 하루,알렉산드르 이사예비치 솔제니친,,book_186,booksrc_0186,기존 카드 보강 후보,,,,"수용소, 국가 안보, 개인의 존엄성, 생존 윤리, 전체주의 체제와 인간의 자유 분석에 활용 가능","수용소, 국가 안보, 개인의 존엄성, 생존 윤리, 전체주의 체제와 인간의 자유 분석에 활용 가능",book2_pdf_116_120_stage1_result.zip
117,2,47,46-50.pdf,이중나선,제임스 왓슨,,book_187,booksrc_0187,기존 카드 보강 후보,,,,"DNA 구조 발견, 과학적 협력과 경쟁, 연구 윤리, 데이터 활용, 생명과학 탐구 과정 분석에 활용 가능","DNA 구조 발견, 과학적 협력과 경쟁, 연구 윤리, 데이터 활용, 생명과학 탐구 과정 분석에 활용 가능",book2_pdf_116_120_stage1_result.zip
118,2,48,46-50.pdf,인간실격,다자이 오사무,,book_188,booksrc_0188,기존 카드 보강 후보,,,,"소외감, 정체성 혼란, 자기파괴, 인간관계, 사회적 책임과 정신건강 관점 분석에 활용 가능","소외감, 정체성 혼란, 자기파괴, 인간관계, 사회적 책임과 정신건강 관점 분석에 활용 가능",book2_pdf_116_120_stage1_result.zip
119,2,49,46-50.pdf,인수공통 모든 전염병의 열쇠,데이비드 콰먼,,book_189,booksrc_0189,기존 카드 보강 후보,,,,"원헬스, 인수공통감염병, 환경보전, 국제협력, 전염병 예방과 생태계 변화 분석에 활용 가능","원헬스, 인수공통감염병, 환경보전, 국제협력, 전염병 예방과 생태계 변화 분석에 활용 가능",book2_pdf_116_120_stage1_result.zip
120,2,50,46-50.pdf,입속에서 시작하는 미생물 이야기,김혜성,,book_190,booksrc_0190,기존 카드 보강 후보,,,,"구강 미생물, 건강지표, 정신건강, 맞춤치료, 표준화, 치의학·생명과학 탐구에 활용 가능","구강 미생물, 건강지표, 정신건강, 맞춤치료, 표준화, 치의학·생명과학 탐구에 활용 가능",book2_pdf_116_120_stage1_result.zip
121,2,51,51-55.pdf,자존감 수업,윤홍균,,book_191,booksrc_0191,기존 카드 보강 후보,,,,"자존감, 청소년, 인권의식, 또래관계, 사회관계망 서비스와 자기 인식 형성 분석에 활용 가능","자존감, 청소년, 인권의식, 또래관계, 사회관계망 서비스와 자기 인식 형성 분석에 활용 가능",book2_pdf_121_125_stage1_result.zip
122,2,52,51-55.pdf,젊은 음악가를 위한 슈만의 조언,스티븐 이설리스,,book_192,booksrc_0192,기존 카드 보강 후보,,,,"예술 해석, 음악적 성취, 연주자의 의도, 표현성, 시대와 문화에 따른 해석 변화 분석에 활용 가능","예술 해석, 음악적 성취, 연주자의 의도, 표현성, 시대와 문화에 따른 해석 변화 분석에 활용 가능",book2_pdf_121_125_stage1_result.zip
123,2,53,51-55.pdf,정의란 무엇인가,마이클 샌델,,book_193,booksrc_0193,기존 카드 보강 후보,,,,"공정성, 개인의 자유, 사회정의, 분배정의, 능력주의, 공정한 사회 구조 분석에 활용 가능","공정성, 개인의 자유, 사회정의, 분배정의, 능력주의, 공정한 사회 구조 분석에 활용 가능",book2_pdf_121_125_stage1_result.zip
124,2,54,51-55.pdf,제2의 성,시몬 드 보부아르,,book_194,booksrc_0194,기존 카드 보강 후보,,,,"젠더 불평등, 사회적 규범, 여성 주체성, 가부장제, 성평등 정책과 사회통합 분석에 활용 가능","젠더 불평등, 사회적 규범, 여성 주체성, 가부장제, 성평등 정책과 사회통합 분석에 활용 가능",book2_pdf_121_125_stage1_result.zip
125,2,55,51-55.pdf,"제인 에어 1,2",샬럿 브론테,,book_195,booksrc_0195,기존 카드 보강 후보,,,,"여성 주체성, 사랑과 자아실현, 문학 속 여성 인물, 사회참여와 주체성 강화 분석에 활용 가능","여성 주체성, 사랑과 자아실현, 문학 속 여성 인물, 사회참여와 주체성 강화 분석에 활용 가능",book2_pdf_121_125_stage1_result.zip
126,2,56,56-60.pdf,주홍글씨,나다니엘 호손,,book_196,booksrc_0196,기존 카드 보강 후보,,,,"죄의식, 낙인, 규범, 공동체, 사회변화, 개인의 비밀과 공적 질서의 관계 분석에 활용 가능","죄의식, 낙인, 규범, 공동체, 사회변화, 개인의 비밀과 공적 질서의 관계 분석에 활용 가능",book2_pdf_126_130_stage1_result.zip
127,2,57,56-60.pdf,참을 수 없는 존재의 가벼움,밀란 쿤데라,,book_197,booksrc_0197,기존 카드 보강 후보,,,,"가벼움과 무거움, 영원회귀, 키치, 개인의 자유와 역사적 책임, 실존주의적 선택 분석에 활용 가능","가벼움과 무거움, 영원회귀, 키치, 개인의 자유와 역사적 책임, 실존주의적 선택 분석에 활용 가능",book2_pdf_126_130_stage1_result.zip
128,2,58,56-60.pdf,철학적 탐구,비트겐슈타인,,book_198,booksrc_0198,기존 카드 보강 후보,,,,"언어 놀이, 가족 유사성, 사적 언어, 삶의 형식, 언어와 의미의 관계 분석에 활용 가능","언어 놀이, 가족 유사성, 사적 언어, 삶의 형식, 언어와 의미의 관계 분석에 활용 가능",book2_pdf_126_130_stage1_result.zip
129,2,59,56-60.pdf,치과의사는 입만 진료하지 않는다,이마타 오시로,,book_199,booksrc_0199,기존 카드 보강 후보,,,,"상류 의료, 병소 감염, 치과-내과 협진, 전신 건강, 구강 건강 관리 시스템 분석에 활용 가능","상류 의료, 병소 감염, 치과-내과 협진, 전신 건강, 구강 건강 관리 시스템 분석에 활용 가능",book2_pdf_126_130_stage1_result.zip
130,2,60,56-60.pdf,칸트와 헤겔의 철학,백종현,,book_200,booksrc_0200,기존 카드 보강 후보,,,,"칸트, 헤겔, 선험적 이성주의, 변증법, 정언명령과 자율, 근대 철학의 자유 개념 분석에 활용 가능","칸트, 헤겔, 선험적 이성주의, 변증법, 정언명령과 자율, 근대 철학의 자유 개념 분석에 활용 가능",book2_pdf_126_130_stage1_result.zip
131,2,61,61-65.pdf,택리지,이중환,,book_201,booksrc_0201,기존 카드 보강 후보,,,,"지리, 산수, 풍수, 인심, 생리, 조선 후기 거주지 조건과 인간-자연 관계 분석에 활용 가능","지리, 산수, 풍수, 인심, 생리, 조선 후기 거주지 조건과 인간-자연 관계 분석에 활용 가능",book2_pdf_131_135_stage1_result.zip
132,2,62,61-65.pdf,퇴계선집,이황,,book_202,booksrc_0202,기존 카드 보강 후보,,,,"경, 주리론, 성리학, 인간상, 리더십 모델, 현대 사회의 윤리적 리더십 비교에 활용 가능","경, 주리론, 성리학, 인간상, 리더십 모델, 현대 사회의 윤리적 리더십 비교에 활용 가능",book2_pdf_131_135_stage1_result.zip
133,2,63,61-65.pdf,팩트풀니스,한스 로슬링,,book_203,booksrc_0203,기존 카드 보강 후보,,,,"데이터 리터러시, 통계, 세계관, 언론 편향, 미디어 환경과 대중의 세계관 형성 분석에 활용 가능","데이터 리터러시, 통계, 세계관, 언론 편향, 미디어 환경과 대중의 세계관 형성 분석에 활용 가능",book2_pdf_131_135_stage1_result.zip
134,2,64,61-65.pdf,페스트,알베르 카뮈,,book_204,booksrc_0204,기존 카드 보강 후보,,,,"재난, 인간 존엄성, 실존 철학, 공동체, 국가 재난과 개인 자유의 관계 분석에 활용 가능","재난, 인간 존엄성, 실존 철학, 공동체, 국가 재난과 개인 자유의 관계 분석에 활용 가능",book2_pdf_131_135_stage1_result.zip
135,2,65,61-65.pdf,평균의 종말,토드 로즈,,book_205,booksrc_0205,기존 카드 보강 후보,,,,"평균주의, 개인 다양성, 창의성 교육, 개별화, 평균 중심 사회가 개인의 다양성 존중에 미치는 영향 분석에 활용 가능","평균주의, 개인 다양성, 창의성 교육, 개별화, 평균 중심 사회가 개인의 다양성 존중에 미치는 영향 분석에 활용 가능",book2_pdf_131_135_stage1_result.zip
